iter	Passed	Remaining
619	1250	766
620	1252	764
621	1256	763
622	1259	762
623	1263	761
624	1264	758
625	1268	757
626	1272	756
627	1279	757
628	1281	755
629	1283	754
630	1285	751
631	1288	750
632	1292	749
633	1294	747
634	1296	745
635	1298	743
636	1301	741
637	1306	741
638	1308	739
639	1311	737
640	1314	736
641	1316	734
642	1319	732
643	1321	730
644	1324	729
645	1326	726
646	1331	726
647	1336	725
648	1338	723
649	1340	721
650	1342	719
651	1343	717
652	1345	715
653	1349	713
654	1351	711
655	1353	709
656	1355	707
657	1357	705
658	1358	703
659	1360	700
660	1364	699
661	1366	697
662	1368	695
663	1370	693
664	1371	690
665	1373	688
666	1377	687
667	1379	685
668	1381	683
669	1383	681
670	1386	679
671	1388	677
672	1389	675
673	1393	673
674	1397	672
675	1400	671
676	1403	669
677	1406	667
678	1408	665
679	1410	663
680	1412	661
681	1414	659
682	1416	657
683	1418	655
684	1422	654
685	1424	652
686	1426	649
687	1428	647
688	1429	645
689	1431	643
690	1433	640
691	1436	639
692	1438	637
693	1440	635
694	1442	633
695	1444	630
696	1446	628
697	1449	627
698	1451	625
699	1453	622
700	1455	620
701	1457	618
702	1460	616
703	1464	615
704	1467	613
705	1469	611
706	1470	609
707	1472	607
708	1474	605
709	1476	603
710	1480	601
711	1482	599
712	1484	597
713	1487	595
714	1489	593
715	1494	592
716	1496	590
717	1498	588
718	1500	586
719	1501	584
720	1504	582
721	1505	579
722	1508	577
723	1509	575
724	1511	573
725	1513	571
726	1515	568
727	1516	566
728	1518	564
729	1520	562
730	1522	560
731	1524	558
732	1526	555
733	1527	553
734	1528	551
735	1531	549
736	1535	547
737	1538	546
738	1540	544
739	1542	541
740	1543	539
741	1545	537
742	1546	535
743	1549	533
744	1551	530
745	1552	528
746	1553	526
747	1555	524
748	1557	521
749	1558	519
750	1560	517
751	1563	515
752	1564	513
753	1566	511
754	1568	508
755	1569	506
756	1570	504
757	1572	501
758	1575	500
759	1577	498
760	1579	496
761	1581	493
762	1583	491
763	1584	489
764	1586	487
765	1592	486
766	1594	484
767	1596	482
768	1597	479
769	1600	478
770	1606	477
771	1608	474
772	1609	472
773	1611	470
774	1613	468
775	1614	466
776	1616	463
777	1619	462
778	1621	460
779	1624	458
780	1625	455
781	1627	453
782	1628	451
783	1630	449
784	1633	447
785	1635	445
786	1637	443
787	1639	441
788	1641	439
789	1644	437
790	1647	435
791	1649	433
792	1651	431
793	1653	428
794	1654	426
795	1656	424
796	1658	422
797	1662	420
798	1664	418
799	1666	416
800	1668	414
801	1670	412
802	1671	410
803	1673	407
804	1676	406
805	1677	403
806	1679	401
807	1681	399
808	1682	397
809	1684	395
810	1686	392
811	1689	391
812	1691	389
813	1692	386
814	1694	384
815	1696	382
816	1698	380
817	1699	378
818	1702	376
819	1704	374
820	1706	372
821	1708	369
822	1709	367
823	1710	365
824	1712	363
825	1713	361
826	1716	359
827	1718	357
828	1720	354
829	1721	352
830	1723	350
831	1724	348
832	1725	346
833	1727	343
834	1728	341
835	1731	339
836	1732	337
837	1733	335
838	1735	333
839	1736	330
840	1737	328
841	1739	326
842	1740	324
843	1742	322
844	1745	320
845	1746	317
846	1747	315
847	1749	313
848	1750	311
849	1751	309
850	1753	306
851	1754	304
852	1756	302
853	1758	300
854	1760	298
855	1761	296
856	1762	294
857	1764	291
858	1765	289
859	1766	287
860	1767	285
861	1768	283
862	1770	280
863	1772	279
864	1773	276
865	1775	274
866	1776	272
867	1777	270
868	1778	268
869	1780	265
870	1781	263
871	1782	261
872	1783	259
873	1785	257
874	1787	255
875	1788	253
876	1790	251
877	1791	248
878	1792	246
879	1793	244
880	1794	242
881	1796	240
882	1797	238
883	1799	236
884	1800	234
885	1802	231
886	1803	229
887	1804	227
888	1805	225
889	1807	223
890	1808	221
891	1809	219
892	1810	216
893	1812	214
894	1814	212
895	1815	210
896	1816	208
897	1817	206
898	1819	204
899	1820	202
900	1821	200
901	1823	198
902	1824	195
903	1826	193
904	1828	191
905	1830	189
906	1831	187
907	1832	185
908	1834	183
909	1835	181
910	1836	179
911	1837	177
912	1838	175
913	1841	173
914	1842	171
915	1843	169
916	1845	166
917	1846	164
918	1847	162
919	1848	160
920	1850	158
921	1851	156
922	1852	154
923	1854	152
924	1856	150
925	1857	148
926	1858	146
927	1859	144
928	1861	142
929	1862	140
930	1863	138
931	1864	136
932	1865	133
933	1867	131
934	1869	129
935	1870	127
936	1872	125
937	1873	123
938	1874	121
939	1875	119
940	1877	117
941	1878	115
942	1879	113
943	1880	111
944	1883	109
945	1885	107
946	1886	105
947	1887	103
948	1888	101
949	1890	99
950	1891	97
951	1892	95
952	1893	93
953	1895	91
954	1897	89
955	1899	87
956	1900	85
957	1902	83
958	1903	81
959	1904	79
960	1906	77
961	1907	75
962	1909	73
963	1911	71
964	1913	69
965	1914	67
966	1915	65
967	1916	63
968	1918	61
969	1919	59
970	1920	57
971	1923	55
972	1924	53
973	1926	51
974	1927	49
975	1928	47
976	1929	45
977	1930	43
978	1932	41
979	1933	39
980	1934	37
981	1936	35
982	1938	33
983	1940	31
984	1941	29
985	1942	27
986	1943	25
987	1945	23
988	1946	21
989	1947	19
990	1948	17
991	1950	15
992	1952	13
993	1953	11
994	1954	9
995	1956	7
996	1957	5
997	1958	3
998	1959	1
999	1960	0
